Count,Epic link,Summary,Labels,Assignee,Reporter,Priority,Description,Issue Type
1,SLQ ECOM DB ADMIN W0,Slow query by new_cods_ro_prod[new_cods_ro_prod] table `issues_packages_refunds` #547,SLQ,anbh2,anbh2,Low,"{code:sql}select `pkg_order`, `refund_money_package` from `issues_packages_refunds` where `pkg_order` in(?+) and `status_id` in(?+) and `created` >= ? and `created` <= ?;{code} * *Avg Response Time* : 159.79\\ * *Count*: 1\\ * *Main Table*: `issues_packages_refunds`\\ * *User*: new_cods_ro_prod[new_cods_ro_prod]\\ * *Sample Query*: {code:sql} {code}\\ * *Query Time:*: \\ * *HTTP Request*: {code:sql} {code}",Task
1,SLQ XTEAM W0,Slow query by trieulv7[trieulv7] table scan_points #210,SLQ,anbh2,anbh2,Low,"{code:sql}select count(?) from scan_points limit ?, ?;{code} * *Avg Response Time* : 13.34\\ * *Count*: 1\\ * *Main Table*: scan_points\\ * *User*: trieulv7[trieulv7]\\ * *Sample Query*: {code:sql} {code}\\ * *Query Time:*: \\ * *HTTP Request*: {code:sql} {code}",Task
